record_id,slope_id,district_id,rock_type,geological_age,rock_class,weathering_grade,rock_mass_rating,joint_dip_deg,joint_strike_deg,joint_spacing_m,joint_aperture_class,infill_material,ucs_mpa,discontinuity_persistence,structural_control_risk
472,94,33,Quartzite,Paleozoic,Sedimentary,4,3,33.1,138,0.57,Closed,Iron Oxide,78.7,0.61,Moderate
473,137,29,Limestone,Cenozoic,Sedimentary,5,1,5.7,37,5.79,Tight,None,235.7,0.22,Low
474,393,48,Granite,Mesozoic,Metamorphic,4,3,69.4,106,2.01,Closed,Quartz,188.2,0.19,Very High
475,225,42,Quartzite,Paleozoic,Sedimentary,3,1,23.7,124,5.77,Closed,Quartz,69.1,0.23,Low
476,183,43,Sandstone,Paleozoic,Metamorphic,3,5,46.7,132,3.16,Tight,Clay,157.8,0.37,Low
477,223,44,Sandstone,Quaternary,Igneous,2,4,1.9,148,6.12,Closed,None,226.8,0.47,Moderate
478,430,62,Limestone,Cenozoic,Igneous,5,4,19.4,75,3.83,Tight,None,207.4,0.49,High
479,66,37,Quartzite,Quaternary,Sedimentary,5,5,68.4,26,3.24,Very Tight,Calcite,244.0,0.88,High
480,252,46,Phyllite,Paleozoic,Metamorphic,2,4,73.0,172,8.21,Tight,Clay,13.7,0.08,Very High
481,143,27,Limestone,Cenozoic,Sedimentary,5,3,7.3,11,1.98,Very Tight,Iron Oxide,93.6,0.06,Low
482,224,56,Schist,Paleozoic,Igneous,3,2,83.7,57,1.53,Very Tight,Clay,108.5,0.25,High
483,486,25,Shale,Precambrian,Sedimentary,0,5,89.4,137,8.4,Very Tight,Quartz,217.2,0.76,Moderate
484,262,52,Granite,Paleozoic,Igneous,1,2,37.6,100,3.89,Tight,Clay,194.9,0.1,High
485,394,62,Sandstone,Cenozoic,Sedimentary,2,5,18.3,17,5.46,Very Tight,None,27.1,0.26,Very High
486,78,21,Limestone,Paleozoic,Sedimentary,2,2,29.4,67,2.2,Open,Quartz,32.2,0.26,High
487,55,41,Limestone,Precambrian,Sedimentary,1,3,56.0,49,5.08,Closed,Quartz,230.5,0.88,Very High
488,379,43,Shale,Quaternary,Sedimentary,4,5,35.8,129,5.6,Very Tight,Calcite,108.3,0.62,Very High
489,435,55,Phyllite,Cenozoic,Igneous,5,5,40.8,59,2.88,Very Tight,Iron Oxide,248.6,0.18,Very High
490,19,30,Schist,Quaternary,Igneous,5,5,10.1,42,3.86,Very Tight,Iron Oxide,190.4,0.44,Moderate
491,174,33,Schist,Paleozoic,Metamorphic,2,5,79.2,33,0.33,Open,None,199.3,0.95,Low
492,201,13,Sandstone,Cenozoic,Metamorphic,2,5,10.2,44,1.03,Tight,Calcite,157.9,0.39,High
493,496,32,Quartzite,Cenozoic,Metamorphic,3,3,17.3,180,2.27,Open,Calcite,68.7,0.36,Moderate
494,254,49,Schist,Mesozoic,Igneous,4,5,88.5,135,3.09,Very Tight,Calcite,130.2,0.55,High
495,237,13,Gneiss,Paleozoic,Metamorphic,3,5,40.4,108,7.64,Open,Iron Oxide,174.5,0.21,Low
496,288,37,Quartzite,Mesozoic,Igneous,5,5,86.1,24,6.87,Tight,Quartz,225.8,0.12,Moderate
497,401,51,Basalt,Mesozoic,Sedimentary,5,4,47.2,118,0.54,Very Tight,None,147.9,0.63,Moderate
498,179,11,Granite,Quaternary,Metamorphic,3,1,87.9,29,7.7,Tight,Calcite,97.4,0.86,Very High
499,397,54,Basalt,Precambrian,Sedimentary,0,3,24.2,117,5.93,Very Tight,Iron Oxide,184.1,0.07,Very High
500,181,10,Gneiss,Mesozoic,Igneous,3,3,74.0,71,1.06,Very Tight,Calcite,159.0,0.21,Very High
