record_id,slope_id,district_id,datetime,stream_flow_cumec,water_table_depth_m,pore_pressure_kpa,seepage_rate_mm_day,groundwater_level_change_m,catchment_area_sq_m,runoff_coefficient,baseflow_index,stream_type,channel_gradient,infiltration_rate
999,198,52,2021-01-06 04:24:28,2726.2,9.83,52.8,14.5,5.18,24643.0,7.0,47.8,None,441.1,0.497
1000,341,45,2022-02-20 01:24:12,4241.2,9.97,25.5,17.18,-0.86,8879.0,35.1,48.64,Perennial,416.2,0.452
1001,312,23,2019-02-21 15:30:03,2466.1,9.73,37.4,9.78,4.81,7017.0,44.4,94.69,Perennial,136.0,0.328
1002,243,37,2021-08-19 00:55:10,2943.6,4.84,93.4,18.35,9.93,19222.0,88.8,30.08,Ephemeral,372.0,0.205
1003,296,41,2023-02-21 23:39:13,3378.1,7.5,58.3,9.29,0.46,35407.0,33.4,85.36,Seasonal,357.8,0.796
1004,411,33,2021-08-26 16:06:02,3108.7,2.63,48.3,2.1,-0.32,26160.0,70.6,36.05,None,307.7,0.717
1005,135,22,2021-04-29 17:51:25,4898.8,9.08,18.9,0.27,-0.17,33416.0,7.0,85.15,Perennial,99.4,0.451
1006,362,55,2023-05-21 13:12:44,1954.9,2.14,75.2,12.56,3.67,24898.0,72.4,11.12,Ephemeral,4.1,0.795
1007,317,51,2018-09-16 10:20:00,4976.2,0.77,29.7,4.68,0.46,40730.0,95.7,70.51,Perennial,475.2,0.718
1008,154,46,2018-05-19 03:45:26,1085.9,1.35,31.5,3.25,1.38,42863.0,4.0,56.2,Seasonal,10.6,0.94
1009,296,41,2023-12-17 03:49:30,2462.0,1.39,74.5,13.06,5.14,45719.0,18.8,8.33,Perennial,457.3,0.568
1010,33,36,2019-07-25 07:09:21,1223.9,1.43,90.2,2.76,1.73,28544.0,75.4,19.63,None,362.0,0.628
1011,231,52,2022-01-09 19:48:00,3622.1,7.69,60.9,12.03,2.83,17940.0,23.6,53.13,Perennial,227.5,0.841
1012,375,28,2024-04-06 02:15:14,4801.1,4.32,36.5,17.15,2.63,6360.0,41.5,75.85,Seasonal,206.8,0.716
1013,37,17,2022-11-08 03:39:07,747.7,4.44,67.0,11.12,5.76,29430.0,6.9,97.46,Seasonal,250.5,0.988
1014,263,37,2018-12-31 09:03:32,4446.8,7.46,2.2,9.18,4.97,38948.0,58.6,69.13,None,449.1,0.704
1015,86,16,2023-07-05 05:04:14,1138.7,6.04,42.1,2.61,-0.52,37793.0,38.0,19.02,Perennial,100.4,0.619
1016,426,27,2019-02-04 04:31:37,3892.9,2.01,25.4,8.85,9.06,18828.0,95.0,28.91,Perennial,301.7,0.357
1017,133,25,2020-05-05 16:34:31,2236.6,7.9,93.6,19.61,7.45,39322.0,14.0,56.3,None,84.3,0.172
1018,367,29,2023-07-04 03:02:36,3519.9,0.32,72.5,15.74,8.43,38201.0,91.2,25.39,Perennial,243.8,0.049
1019,400,48,2021-10-06 16:02:46,1905.4,9.56,5.7,15.4,5.7,13334.0,91.0,5.02,Perennial,72.6,0.106
1020,404,11,2022-10-07 18:53:54,4329.3,9.98,27.8,3.59,-1.7,35282.0,14.7,86.49,Ephemeral,319.6,0.921
1021,55,41,2020-01-20 06:04:19,4559.2,8.27,77.3,8.02,2.16,3177.0,78.5,67.84,Perennial,418.5,0.368
1022,225,42,2024-12-19 12:53:20,4766.4,1.62,72.4,15.14,4.57,9690.0,45.4,97.59,Seasonal,68.7,0.304
1023,190,55,2024-06-15 21:11:31,4950.4,1.62,81.4,11.4,7.01,9252.0,89.2,0.07,Ephemeral,184.3,0.762
1024,57,1,2019-01-07 06:47:17,2337.3,2.19,76.6,13.28,5.48,31004.0,14.8,51.54,Seasonal,324.9,0.296
1025,222,50,2021-06-02 20:07:25,1555.8,4.15,67.1,13.11,5.28,13862.0,18.2,49.38,None,66.5,0.23
1026,146,5,2020-08-24 21:44:21,467.0,9.67,19.4,7.38,1.81,5195.0,60.4,58.06,Perennial,385.6,0.094
1027,110,13,2019-11-03 16:50:47,1419.8,0.19,38.6,0.78,8.17,15014.0,2.5,60.64,Ephemeral,330.0,0.283
1028,52,54,2023-03-24 08:04:27,2504.0,3.66,98.9,13.81,0.36,13568.0,74.1,55.98,Seasonal,424.1,0.781
1029,440,51,2024-10-09 14:51:15,4672.5,5.75,48.0,9.92,1.49,33297.0,40.7,14.61,Perennial,135.7,0.973
1030,309,40,2018-09-01 17:18:25,461.9,6.4,35.4,13.23,1.6,28893.0,52.0,56.99,None,115.0,0.802
1031,482,6,2023-01-25 22:44:42,204.2,0.56,46.5,4.64,5.53,45023.0,13.2,38.72,None,497.9,0.784
1032,231,52,2018-10-15 11:25:41,3338.1,0.71,80.2,11.31,9.74,43009.0,8.0,15.72,Ephemeral,299.4,0.665
1033,100,35,2021-03-03 04:08:16,3480.1,9.85,11.9,13.24,7.59,6714.0,48.6,4.68,Perennial,405.2,0.666
1034,69,58,2020-01-14 02:37:43,1583.1,7.5,39.2,19.65,4.53,31552.0,28.7,25.27,Ephemeral,373.4,0.325
1035,345,12,2023-04-08 14:16:16,466.5,3.64,11.3,15.19,-0.06,25100.0,76.5,31.1,Perennial,327.5,0.202
1036,70,32,2023-09-17 10:12:09,3865.7,5.7,98.6,13.67,2.4,47009.0,20.6,86.16,Ephemeral,461.6,0.939
1037,222,50,2024-12-02 19:17:46,4567.2,1.84,20.0,16.19,1.75,5957.0,15.7,28.16,Perennial,440.2,0.644
1038,497,32,2023-12-23 11:41:26,4588.0,8.34,43.1,16.55,7.64,17601.0,15.6,2.37,Seasonal,459.0,0.524
1039,44,60,2020-10-20 12:27:00,4062.5,5.21,70.6,15.37,-1.44,5321.0,98.2,17.08,None,284.5,0.763
1040,416,37,2019-07-05 07:13:04,864.0,7.04,68.9,0.88,7.66,46134.0,50.3,10.26,Ephemeral,352.2,0.23
1041,83,6,2020-03-17 04:07:39,65.1,3.61,70.6,5.73,1.29,25216.0,51.4,87.18,Perennial,331.3,0.678
1042,231,52,2024-02-18 07:22:39,2056.9,4.46,93.8,1.2,1.84,11191.0,26.0,24.66,None,51.2,0.744
1043,297,55,2021-06-04 04:37:17,117.5,3.14,1.7,6.99,0.7,15316.0,87.2,50.16,Ephemeral,120.5,0.054
1044,237,13,2019-03-14 01:00:57,3709.5,9.94,98.1,13.01,3.5,20680.0,2.4,76.47,None,355.0,0.541
1045,108,42,2019-08-20 08:27:06,226.7,4.3,14.6,5.68,9.84,37595.0,72.1,67.29,None,140.6,0.251
1046,256,59,2022-09-29 14:36:56,180.1,6.08,51.4,15.83,-1.45,49355.0,39.3,70.04,None,335.9,0.05
1047,95,4,2023-10-26 09:23:51,2395.6,4.96,54.0,19.44,-1.33,11387.0,12.3,25.61,Perennial,68.6,0.103
1048,465,39,2024-04-28 17:33:04,60.5,6.91,43.7,12.85,8.18,31899.0,38.7,13.51,Seasonal,84.3,0.798
1049,233,20,2023-02-07 20:37:04,3237.7,9.16,78.5,7.68,8.22,21692.0,54.4,10.94,Seasonal,290.7,0.795
1050,118,39,2021-05-17 00:07:33,54.0,8.69,27.2,14.0,2.9,22936.0,42.3,16.28,Seasonal,139.4,0.821
1051,212,16,2024-05-05 21:12:46,4572.4,0.94,58.5,3.83,1.43,11720.0,8.9,87.2,Seasonal,184.8,0.928
1052,120,14,2019-12-19 05:45:04,2041.4,4.82,49.1,12.79,0.47,40736.0,16.1,50.68,Ephemeral,239.9,0.212
1053,129,49,2019-06-03 21:42:50,3696.9,9.55,64.1,13.99,-1.35,23024.0,79.0,32.13,Perennial,375.6,0.583
1054,236,28,2024-10-12 03:59:35,314.8,9.56,55.9,11.15,9.19,3978.0,34.8,81.15,Perennial,244.6,0.799
1055,352,17,2018-12-10 08:10:17,4810.6,3.52,64.1,12.55,4.89,25823.0,67.0,59.71,Perennial,466.4,0.142
1056,90,62,2019-11-05 02:09:50,2913.5,3.45,93.1,4.36,8.77,28363.0,81.8,71.93,Ephemeral,81.3,0.192
1057,147,29,2019-11-30 15:19:02,3294.3,5.64,18.3,0.15,0.16,17383.0,79.5,54.95,Seasonal,257.7,0.784
1058,176,21,2022-07-08 23:18:42,164.7,9.1,90.2,12.44,8.54,9657.0,93.2,25.78,None,220.6,0.344
1059,157,27,2018-04-26 08:24:57,1921.0,0.78,0.8,17.46,6.82,28058.0,78.3,53.03,Seasonal,271.1,0.915
1060,471,58,2024-12-18 17:26:51,2927.2,8.42,0.8,5.82,5.73,8729.0,42.0,13.89,Ephemeral,484.6,0.443
1061,418,51,2023-01-23 23:26:32,2623.8,9.61,64.5,9.45,-1.17,41178.0,49.1,95.42,Perennial,334.6,0.193
1062,60,36,2018-12-21 06:44:10,1426.5,0.22,42.2,13.92,1.49,32948.0,81.1,24.88,None,380.9,0.474
1063,398,46,2022-06-17 22:48:45,659.9,0.55,1.7,13.43,0.12,21252.0,5.5,63.96,Seasonal,67.1,0.931
1064,211,39,2022-06-27 10:30:18,3268.8,3.08,57.5,3.52,5.53,43501.0,61.9,73.28,Ephemeral,169.9,0.3
1065,464,31,2021-10-08 00:12:17,2177.1,1.86,83.3,15.55,5.9,48112.0,51.2,59.45,None,365.6,0.095
1066,205,21,2019-07-20 18:07:22,4586.9,0.51,88.9,4.19,8.39,25319.0,33.7,8.2,None,382.6,0.718
1067,154,46,2022-04-06 16:47:23,3132.9,4.58,98.3,11.22,0.37,21608.0,32.0,6.4,None,44.9,0.282
1068,236,28,2021-12-11 12:56:35,3398.0,4.86,17.5,12.87,7.79,39443.0,3.3,30.16,Ephemeral,364.9,0.091
1069,252,46,2022-06-10 15:08:29,460.1,7.05,57.6,13.45,1.91,39582.0,56.1,68.32,Perennial,113.8,0.601
1070,414,36,2022-09-10 23:46:27,236.6,0.91,45.9,7.5,7.29,10453.0,89.4,14.82,None,388.0,0.894
1071,368,31,2024-05-16 16:37:41,111.9,6.17,56.6,6.16,0.63,42994.0,95.7,27.99,None,113.2,0.817
1072,255,6,2020-05-27 01:07:58,997.3,7.67,24.6,3.54,6.36,20337.0,56.7,71.5,Seasonal,165.4,0.56
1073,122,33,2019-06-09 05:36:30,3881.4,4.37,77.4,8.12,-1.95,10202.0,33.4,75.3,Ephemeral,268.8,0.015
1074,352,17,2018-01-29 18:52:45,890.1,7.81,89.9,18.43,3.43,34888.0,49.6,0.91,Seasonal,249.4,0.395
1075,158,29,2020-06-05 17:07:05,3085.5,2.33,72.9,17.74,1.7,15144.0,64.8,65.6,Perennial,122.1,0.899
1076,80,56,2024-01-11 18:28:50,4604.9,4.24,49.0,6.06,-1.89,16067.0,61.7,96.24,Seasonal,336.6,0.653
1077,319,12,2018-07-02 07:20:26,1377.0,7.98,94.9,3.8,4.05,35092.0,69.8,10.63,None,46.0,0.042
1078,310,38,2018-10-06 19:51:51,4869.9,5.55,10.3,1.41,7.27,23914.0,52.6,79.48,Ephemeral,385.8,0.57
1079,362,55,2022-05-22 03:56:59,1.0,7.84,41.5,5.46,3.74,35273.0,92.4,45.51,Ephemeral,119.8,0.271
1080,452,34,2022-09-01 10:19:17,2969.5,5.37,14.3,6.25,9.34,24853.0,30.4,86.06,Ephemeral,111.4,0.033
1081,377,24,2020-08-04 22:55:56,342.7,5.43,81.4,14.2,-0.87,19897.0,4.4,92.86,Ephemeral,211.3,0.414
1082,87,37,2024-01-30 11:46:27,4717.5,1.29,16.5,13.91,9.72,38103.0,32.2,39.83,Perennial,198.4,0.169
1083,346,34,2021-01-24 19:15:44,1689.8,1.96,24.5,16.79,2.11,1411.0,48.0,24.01,Ephemeral,178.1,0.712
1084,496,32,2019-09-22 12:24:52,3953.4,8.07,35.0,0.76,5.81,43821.0,23.7,82.61,Seasonal,483.4,0.446
1085,320,23,2021-12-26 01:11:44,2441.6,9.59,53.6,3.95,7.05,49590.0,83.3,65.44,Ephemeral,392.9,0.586
1086,467,57,2021-05-12 19:53:11,1015.5,1.22,36.4,19.94,7.08,45737.0,1.8,95.8,Perennial,11.5,0.882
1087,69,58,2022-03-08 00:44:20,3793.5,2.33,47.8,12.22,9.11,3055.0,82.5,80.13,Ephemeral,212.1,0.078
1088,159,55,2021-06-10 12:31:50,644.8,1.66,47.4,6.18,5.7,32822.0,60.5,71.06,Seasonal,469.8,0.588
1089,447,12,2021-08-26 10:47:44,1888.6,4.2,54.7,19.73,1.38,46312.0,72.5,43.0,None,54.1,0.315
1090,237,13,2024-08-28 11:52:24,1890.5,4.45,54.0,9.6,7.81,38463.0,56.7,81.14,Perennial,175.9,0.0
1091,409,6,2019-01-08 15:28:00,3980.3,6.95,88.8,18.13,-1.79,23058.0,12.8,4.72,None,280.6,0.984
1092,205,21,2024-08-30 04:06:07,3286.9,9.55,37.3,16.78,2.8,44072.0,7.8,47.81,Seasonal,313.4,0.262
1093,397,54,2021-08-26 16:26:57,3837.1,8.61,34.9,6.7,9.77,45658.0,51.0,7.85,None,187.4,0.865
1094,300,25,2019-07-29 16:31:56,942.5,8.76,55.0,15.88,2.1,45820.0,79.5,87.71,Ephemeral,471.2,0.993
1095,441,56,2018-02-15 11:48:42,240.9,4.26,30.6,1.81,9.9,10619.0,46.9,7.98,Seasonal,451.4,0.011
1096,465,39,2018-07-04 21:44:42,3549.1,4.01,90.7,18.26,7.1,32547.0,39.5,18.75,Ephemeral,342.0,0.67
1097,410,11,2021-05-13 14:20:01,1748.7,2.02,63.7,3.92,8.65,2256.0,80.8,75.06,None,94.3,0.62
1098,250,11,2021-01-04 13:02:55,1670.0,9.77,61.1,5.27,2.4,37942.0,10.9,61.43,Seasonal,53.6,0.216
1099,10,27,2022-07-29 20:20:46,1142.6,8.34,41.0,6.04,1.75,12002.0,33.6,56.46,Ephemeral,124.3,0.678
1100,95,4,2023-03-05 07:50:25,2966.3,3.01,60.6,5.5,9.03,30852.0,25.1,39.99,None,236.2,0.753
1101,4,19,2019-07-26 19:38:09,4884.0,0.42,55.5,5.79,3.65,17143.0,79.8,94.36,Perennial,151.6,0.47
1102,105,61,2023-04-01 20:52:11,1986.1,2.75,65.8,7.51,6.7,28640.0,44.1,47.77,None,101.1,0.225
1103,3,47,2024-09-19 14:47:16,823.0,5.23,68.1,8.59,-1.01,17900.0,70.9,78.57,None,108.9,0.895
1104,337,59,2023-03-21 02:02:59,2317.2,1.7,26.0,17.24,6.98,21843.0,80.9,29.34,Seasonal,305.4,0.234
1105,50,58,2022-09-24 04:53:44,597.4,7.16,77.5,12.8,6.73,20713.0,27.2,68.05,Ephemeral,454.7,0.874
1106,174,33,2018-07-11 06:20:08,0.2,2.91,23.3,16.29,9.83,7917.0,4.0,60.96,Seasonal,286.8,0.499
1107,36,33,2024-12-06 15:47:16,1065.0,8.64,29.4,19.55,5.9,41914.0,27.2,19.06,Perennial,278.8,0.219
1108,124,27,2020-04-22 04:16:13,443.2,6.8,64.6,17.39,3.37,7258.0,87.7,18.36,Perennial,197.1,0.459
1109,472,50,2020-10-17 15:47:11,4842.2,9.74,17.1,14.47,2.93,28169.0,21.9,13.58,Ephemeral,116.5,0.439
1110,78,21,2019-08-31 00:55:59,1684.0,1.05,45.7,9.48,0.16,16440.0,71.6,83.65,Perennial,111.7,0.55
1111,426,27,2022-01-28 23:06:20,2064.4,5.49,69.6,16.97,2.12,683.0,65.8,98.93,Perennial,335.8,0.148
1112,314,31,2024-03-25 00:50:13,221.6,2.5,10.0,19.61,5.45,14591.0,66.7,71.89,Seasonal,494.2,0.908
1113,276,62,2018-05-15 18:18:37,3924.0,2.5,59.4,12.34,5.66,48495.0,75.8,35.19,Perennial,317.3,0.01
1114,167,44,2022-05-03 18:01:38,1599.6,5.22,30.9,6.25,-0.89,47127.0,0.9,49.43,None,302.4,0.659
1115,224,56,2023-11-28 21:29:57,1636.0,6.38,95.9,11.0,1.15,24103.0,31.5,95.02,Perennial,108.3,0.346
1116,249,34,2024-12-13 20:14:22,2659.2,1.86,65.8,10.97,7.71,42865.0,61.4,91.97,Perennial,145.4,0.438
1117,106,23,2024-06-20 12:51:54,588.1,4.91,90.1,5.06,9.51,33298.0,51.7,84.73,None,191.6,0.727
1118,371,53,2022-05-06 00:28:47,4878.2,8.92,65.0,9.85,5.63,41392.0,42.5,15.06,None,254.6,0.093
1119,451,41,2024-02-12 19:10:00,3082.6,0.49,74.1,19.48,9.4,6621.0,70.3,35.93,Seasonal,276.3,0.025
1120,234,19,2023-11-08 20:51:15,670.7,7.55,9.9,1.51,-1.13,22596.0,42.6,70.23,None,135.6,0.104
1121,262,52,2022-06-11 23:54:23,2391.3,3.55,23.1,18.97,3.94,20769.0,7.5,9.35,None,490.9,0.5
1122,263,37,2019-05-15 10:33:44,1372.9,1.2,3.1,3.85,9.73,25080.0,97.2,35.19,Seasonal,137.6,0.985
1123,152,25,2018-04-13 11:40:03,688.2,5.65,29.0,3.23,4.1,29929.0,63.9,0.32,Ephemeral,302.8,0.995
1124,291,54,2020-12-28 18:56:30,3078.2,9.8,87.1,7.55,-1.98,34631.0,62.5,48.8,Seasonal,4.4,0.853
1125,366,16,2019-03-21 15:18:07,1392.6,1.71,96.6,1.73,0.37,13188.0,9.0,75.9,Seasonal,167.2,0.256
1126,437,26,2023-06-24 02:51:22,4797.0,4.03,76.9,11.56,-0.78,8177.0,72.7,49.42,None,429.8,0.802
1127,83,6,2021-05-06 07:00:34,4107.7,9.58,53.5,16.07,1.91,11758.0,86.2,77.42,None,237.1,0.688
1128,476,22,2021-10-22 11:33:18,2433.3,6.54,54.4,3.64,7.6,1807.0,6.3,53.87,Ephemeral,119.1,0.953
1129,107,47,2024-01-12 19:07:40,424.3,2.03,47.8,5.72,3.86,12947.0,52.6,99.84,Perennial,100.9,0.284
1130,136,46,2024-04-10 04:25:01,1855.6,8.27,90.1,18.89,4.22,20817.0,35.3,92.44,None,23.5,0.881
1131,47,61,2020-05-30 02:05:15,2742.7,8.04,0.2,0.51,1.79,16688.0,27.4,58.45,Ephemeral,479.9,0.966
1132,489,48,2022-04-22 11:40:24,1084.7,7.25,9.0,13.71,8.86,3510.0,95.4,51.29,Ephemeral,383.8,0.402
1133,49,36,2019-11-14 20:41:39,1006.6,0.09,27.7,18.49,-0.98,43898.0,3.6,18.1,Seasonal,57.1,0.018
1134,356,42,2018-12-13 19:28:08,3995.8,4.29,28.9,11.95,0.62,4013.0,6.5,79.38,Seasonal,203.0,0.224
1135,500,17,2021-04-14 13:13:59,3112.6,2.38,98.6,14.3,2.13,8709.0,69.9,7.11,Seasonal,477.0,0.79
1136,256,59,2021-07-06 09:30:35,1427.4,7.27,10.2,14.5,8.81,41923.0,88.5,15.14,None,251.7,0.834
1137,404,11,2021-07-27 16:56:29,434.1,9.4,25.1,6.7,-1.62,44331.0,72.7,60.44,None,166.5,0.712
1138,20,55,2021-11-22 12:22:52,1005.5,6.49,15.5,14.1,1.91,14376.0,16.4,4.7,Seasonal,480.3,0.309
1139,317,51,2019-08-20 13:45:13,3349.8,9.33,14.6,18.73,7.38,13047.0,84.2,95.4,None,338.6,0.558
1140,103,56,2018-07-30 20:02:58,3145.7,3.06,32.2,10.41,-0.09,32242.0,6.6,64.94,Perennial,200.1,0.307
1141,443,9,2021-02-09 18:05:39,169.0,5.96,49.9,7.63,8.76,48413.0,78.3,99.76,Seasonal,8.1,0.691
1142,161,24,2021-12-24 02:29:01,4309.5,6.27,5.0,11.61,8.37,21555.0,40.0,36.69,None,51.6,0.297
1143,157,27,2023-06-24 03:26:13,2429.5,4.59,7.4,6.37,-0.7,4024.0,3.9,25.23,Ephemeral,138.5,0.532
1144,452,34,2021-12-01 06:49:53,3721.3,3.05,46.7,9.42,2.23,26747.0,47.3,98.51,Seasonal,362.3,0.785
1145,51,20,2019-08-07 16:37:38,545.9,5.7,64.4,17.01,-1.24,12275.0,22.9,98.31,None,419.3,0.022
1146,142,53,2019-08-08 23:09:15,1837.6,5.24,71.9,19.94,4.51,11348.0,86.8,2.79,Ephemeral,86.3,0.394
1147,197,62,2019-04-27 14:55:47,1284.8,8.48,80.5,4.72,7.32,23078.0,1.4,56.51,None,395.8,0.155
1148,135,22,2020-06-05 19:51:04,4285.4,8.51,63.6,11.66,5.41,27422.0,18.9,5.39,Seasonal,57.0,0.564
1149,143,27,2022-03-23 06:26:34,4560.1,5.62,82.2,5.59,9.18,26859.0,90.7,17.88,Seasonal,172.3,0.741
1150,499,9,2019-07-30 05:42:11,2411.5,4.12,82.0,19.0,9.16,44220.0,16.0,61.62,Seasonal,96.9,0.366
1151,130,31,2020-02-25 05:17:31,2378.6,5.27,83.7,6.19,3.82,8208.0,60.7,62.27,Perennial,279.5,0.802
1152,494,56,2018-08-07 12:22:46,4760.7,8.08,12.4,11.88,2.95,26860.0,82.8,60.89,None,1.7,0.131
1153,240,19,2019-07-13 04:15:15,999.5,8.62,50.9,9.2,5.91,42562.0,55.1,14.33,Seasonal,77.8,0.81
1154,17,21,2020-10-15 03:14:17,676.2,0.45,77.8,16.43,0.18,27731.0,76.6,57.39,None,103.4,0.161
1155,304,49,2023-02-03 02:51:48,3649.3,8.7,24.3,5.07,4.82,38907.0,85.7,16.17,Seasonal,78.3,0.384
1156,72,18,2021-03-08 07:57:32,3976.9,4.36,76.3,13.64,-1.27,3709.0,87.6,90.67,Perennial,46.0,0.383
1157,152,25,2021-11-20 01:10:18,409.2,7.44,58.2,3.47,-0.05,23248.0,70.6,79.72,Ephemeral,88.1,0.409
1158,152,25,2023-05-07 12:36:15,4694.4,7.32,2.7,0.26,4.71,41656.0,31.0,19.3,Ephemeral,289.6,0.694
1159,258,27,2019-07-09 17:20:33,3820.9,9.05,24.4,2.87,-0.9,45932.0,91.7,38.34,Seasonal,189.7,0.154
1160,204,25,2024-02-03 10:03:46,2532.9,6.96,17.8,13.85,0.73,29077.0,56.2,81.59,Ephemeral,372.3,0.429
1161,64,11,2018-01-27 20:52:42,619.3,2.77,43.2,10.56,-1.43,48816.0,19.3,77.87,Ephemeral,215.5,0.746
1162,50,58,2019-03-22 16:52:03,707.6,5.83,46.6,10.99,8.83,24129.0,83.6,52.56,Seasonal,290.0,0.063
1163,97,59,2019-10-23 19:18:05,4404.2,0.85,6.2,6.49,9.97,47434.0,5.9,63.98,Perennial,195.0,0.961
1164,167,44,2023-12-23 20:30:59,4833.4,6.52,15.2,15.83,1.67,3056.0,17.5,15.62,Seasonal,314.3,0.186
1165,398,46,2021-09-01 21:30:24,2035.1,2.95,19.6,11.58,4.11,25116.0,65.4,42.65,Ephemeral,353.1,0.283
1166,363,8,2022-06-05 14:53:08,4664.2,9.57,43.5,6.13,6.62,26115.0,12.2,9.11,Seasonal,197.7,0.467
1167,335,8,2020-08-08 06:09:46,3919.8,8.08,98.0,11.46,8.15,30493.0,15.5,53.6,Ephemeral,499.2,0.736
1168,163,6,2020-11-18 02:47:33,2664.9,1.19,24.7,11.81,-1.92,37458.0,93.2,46.74,None,144.6,0.172
1169,293,43,2023-09-03 08:17:22,4719.1,2.43,98.0,14.13,-1.48,28483.0,28.4,41.92,Seasonal,169.8,0.748
1170,21,25,2020-12-04 20:47:23,3238.9,6.11,97.5,9.08,0.17,29611.0,61.7,38.51,Ephemeral,443.5,0.045
1171,332,54,2021-08-03 16:56:00,2436.7,4.22,67.3,11.11,-0.11,16043.0,80.5,60.2,Seasonal,421.7,0.793
1172,270,9,2021-12-21 21:07:51,629.4,1.32,12.9,3.81,3.06,14332.0,56.4,80.59,Seasonal,147.7,0.328
1173,399,2,2024-10-18 08:23:25,1093.9,1.26,73.6,0.93,0.33,39068.0,83.7,47.08,Perennial,398.7,0.263
1174,458,31,2022-01-27 17:46:34,1800.6,4.31,40.8,12.89,2.75,39674.0,89.3,86.12,Seasonal,11.1,0.425
1175,258,27,2018-08-27 18:13:05,4992.5,9.54,37.4,12.0,3.1,2092.0,23.2,28.32,Perennial,183.2,0.192
1176,303,32,2020-12-10 22:12:06,4991.0,2.07,25.3,6.51,0.68,27376.0,55.9,62.65,None,74.3,0.111
1177,236,28,2021-12-01 16:16:17,2841.1,9.48,19.4,7.68,1.08,13431.0,51.9,27.37,Seasonal,181.2,0.968
1178,149,8,2023-01-25 04:55:40,1343.2,6.43,76.1,3.86,-1.01,1884.0,22.1,65.86,Seasonal,56.9,0.679
1179,35,45,2023-09-08 12:21:02,1292.3,9.35,12.6,1.81,-1.9,48104.0,5.7,63.74,None,227.8,0.572
1180,341,45,2018-02-09 11:57:43,107.2,5.09,30.5,4.21,8.26,10749.0,0.5,92.25,Seasonal,42.8,0.092
1181,434,13,2021-07-25 15:57:08,1151.0,6.98,33.1,11.76,0.69,10621.0,29.1,33.15,Ephemeral,88.6,0.888
1182,24,8,2018-07-28 20:48:24,3650.1,2.57,88.6,10.56,6.55,18707.0,54.4,68.46,Ephemeral,304.5,0.309
1183,279,26,2022-12-26 06:26:24,2824.5,5.72,97.5,14.7,-0.44,31056.0,17.2,10.49,Seasonal,266.6,0.74
1184,106,23,2019-12-14 06:43:59,1138.7,3.71,57.6,18.82,0.5,42499.0,83.7,19.67,Ephemeral,153.1,0.4
1185,381,58,2020-03-25 05:03:55,2490.3,1.83,50.0,19.49,-1.64,35711.0,35.5,25.21,Ephemeral,345.1,0.683
1186,11,53,2019-05-13 23:52:51,1870.1,5.02,26.4,18.06,4.15,36308.0,76.5,86.76,Ephemeral,483.7,0.108
1187,201,13,2024-01-14 18:04:35,4889.0,9.33,92.8,8.38,2.92,46889.0,88.8,88.53,Perennial,231.6,0.909
1188,185,1,2023-01-26 19:35:22,1811.5,7.4,38.7,19.13,3.01,3092.0,62.3,90.71,None,305.3,0.921
1189,490,11,2019-03-27 05:49:02,3452.3,4.08,38.3,14.33,4.85,33860.0,12.8,57.67,Perennial,389.4,0.974
1190,32,43,2018-06-13 17:34:57,253.3,5.11,4.0,9.81,-0.12,28536.0,81.7,43.38,None,188.2,0.487
1191,294,22,2021-03-25 04:21:52,2190.1,6.12,85.9,4.3,8.75,26976.0,51.5,66.51,Perennial,128.1,0.748
1192,281,58,2019-04-08 23:14:20,330.3,6.36,13.1,9.22,-0.47,1813.0,36.2,20.76,None,310.4,0.596
1193,103,56,2020-05-20 23:28:45,2071.3,7.38,57.4,10.8,7.87,30795.0,38.9,35.08,None,138.3,0.466
1194,477,40,2020-08-25 18:27:07,2860.4,3.56,43.1,0.43,7.64,18074.0,58.3,3.99,Perennial,325.8,0.938
1195,356,42,2018-01-16 11:05:36,4943.9,1.4,91.6,11.35,0.36,31544.0,12.7,86.35,None,129.7,0.246
1196,403,60,2020-02-23 07:08:47,3030.8,3.83,3.1,11.58,1.75,29747.0,75.4,91.09,None,288.9,0.672
1197,109,47,2018-09-05 07:41:25,4873.7,5.96,10.5,7.52,7.14,29178.0,1.7,95.81,Seasonal,485.2,0.391
1198,397,54,2022-08-05 11:14:29,546.3,5.2,73.1,5.41,2.16,33780.0,6.4,83.77,Perennial,234.1,0.771
1199,352,17,2022-11-26 12:38:14,4149.1,9.79,94.6,2.69,5.82,5183.0,12.1,43.39,Seasonal,285.4,0.808
1200,87,37,2018-09-07 08:32:19,2900.8,9.66,25.7,13.27,9.07,44945.0,3.4,83.59,Perennial,100.0,0.178
1201,277,10,2024-01-24 17:06:40,1763.1,2.57,45.3,10.41,4.83,24582.0,10.4,24.74,None,359.8,0.895
1202,89,1,2023-09-22 08:59:12,707.6,2.12,49.5,3.61,-0.43,49232.0,6.7,37.36,Ephemeral,304.5,0.206
1203,35,45,2018-04-06 10:16:09,843.1,8.94,22.3,16.94,4.62,12490.0,99.3,35.82,Perennial,488.0,0.384
1204,347,36,2018-03-23 07:04:34,1324.7,9.9,73.6,6.79,7.63,1649.0,2.9,99.44,None,321.7,0.779
1205,420,62,2021-08-08 02:27:23,637.0,3.11,58.2,9.41,9.91,15903.0,36.7,72.63,None,419.5,0.671
